frame,body_id,x,y,vx,vy,mass
84,3,4.68285,1.90118,1.96292,1.126,1
84,4,6.77599,2.70364,0.816622,1.99708,1
84,5,3.77886,87.7888,3.36528,103.437,1
85,0,2.72964,-81.0028,2.01154,-96.4959,1
85,1,2.78725,2.32988,2.17886,-0.889276,1
85,2,2.504,6.81368,1.66826,0.823916,1
85,3,4.70247,1.91245,1.96211,1.1276,1
85,4,6.78413,2.72361,0.813945,1.9965,1
85,5,3.81251,88.8231,3.36528,103.437,1
86,0,2.74976,-81.9677,2.01154,-96.4959,1
86,1,2.80907,2.32099,2.18199,-0.889275,1
86,2,2.52068,6.82191,1.66864,0.822909,1
86,3,4.72208,1.92375,1.96129,1.1292,1
86,4,6.79224,2.74357,0.811254,1.99591,1
86,5,3.84616,89.8575,3.36528,103.437,1
87,0,2.76987,-82.9327,2.01154,-96.4959,1
87,1,2.83093,2.3121,2.18514,-0.889251,1
87,2,2.53737,6.83013,1.66903,0.821904,1
87,3,4.74169,1.93505,1.96046,1.13079,1
87,4,6.80032,2.76352,0.808552,1.9953,1
87,5,3.87981,90.8919,3.36528,103.437,1
